Order Date,Ship Date,Ship Mode,State/Province,Region,Factory,Shipping Lead Time,Route,Sales,Units,Gross Profit
2023-11-24,2023-11-28,Standard,OR,West,Lot's O' Nuts,4,Lot's O' Nuts → OR,1068.7,387,488.20000000000005
2023-10-07,2023-10-13,Standard,NY,Northeast,Lot's O' Nuts,6,Lot's O' Nuts → NY,820.4,268,418.4
2023-10-15,2023-10-20,Standard,PA,Northeast,Wicked Choccy's,5,Wicked Choccy's → PA,1138.29,424,629.49
2023-03-23,2023-03-28,Standard,GA,South,Secret Factory,5,Secret Factory → GA,142.38,62,80.38
2023-02-19,2023-02-27,Standard,VA,South,Sugar Shack,8,Sugar Shack → VA,394.04,284,252.04000000000002
2023-07-13,2023-07-16,Expedited,VA,South,Lot's O' Nuts,3,Lot's O' Nuts → VA,858.69,305,401.19000000000005
2023-02-05,2023-02-07,Expedited,MI,Midwest,Lot's O' Nuts,2,Lot's O' Nuts → MI,1250.55,453,571.05
2023-05-23,2023-05-27,Standard,FL,South,Secret Factory,4,Secret Factory → FL,841.37,353,488.37
2023-12-16,2023-12-18,Expedited,WI,Midwest,Lot's O' Nuts,2,Lot's O' Nuts → WI,720.21,246,351.21000000000004
2023-11-24,2023-11-25,Expedited,MI,Midwest,The Other Factory,1,The Other Factory → MI,297.38,127,183.07999999999998
2023-06-11,2023-06-16,Standard,TX,South,Secret Factory,5,Secret Factory → TX,304.17,118,186.17000000000002
2023-07-22,2023-07-27,Standard,MI,Midwest,Secret Factory,5,Secret Factory → MI,996.58,392,604.58
2023-10-26,2023-10-28,Expedited,FL,South,Secret Factory,2,Secret Factory → FL,674.12,270,404.12
2023-01-25,2023-01-29,Expedited,OH,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → OH,862.51,315,390.01
2023-07-15,2023-07-18,Standard,CT,Northeast,The Other Factory,3,The Other Factory → CT,822.37,358,500.17
2023-12-16,2023-12-22,Standard,GA,South,The Other Factory,6,The Other Factory → GA,196.17,90,115.16999999999999
2023-05-15,2023-05-18,Expedited,WI,Midwest,The Other Factory,3,The Other Factory → WI,994.9,440,598.9
2023-11-08,2023-11-09,Expedited,MI,Midwest,Wicked Choccy's,1,Wicked Choccy's → MI,762.22,316,383.02000000000004
2023-01-10,2023-01-14,Standard,GA,South,Lot's O' Nuts,4,Lot's O' Nuts → GA,1395.55,459,707.05
2023-02-10,2023-02-14,Expedited,NY,Northeast,Lot's O' Nuts,4,Lot's O' Nuts → NY,1035.85,347,515.3499999999999
2023-10-09,2023-10-13,Expedited,VA,South,Wicked Choccy's,4,Wicked Choccy's → VA,320.31,118,178.71
2023-12-20,2023-12-23,Expedited,NC,South,Wicked Choccy's,3,Wicked Choccy's → NC,631.75,234,350.95
2023-08-20,2023-08-23,Standard,OH,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → OH,943.06,311,476.55999999999995
2023-10-29,2023-11-01,Expedited,CA,West,Wicked Choccy's,3,Wicked Choccy's → CA,118.92,44,66.12
2023-06-19,2023-06-23,Standard,MI,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → MI,794.9,286,365.9
2023-10-20,2023-10-24,Expedited,PA,Northeast,The Other Factory,4,The Other Factory → PA,216.3,107,120.00000000000001
2023-12-04,2023-12-07,Standard,NC,South,Secret Factory,3,Secret Factory → NC,912.16,354,558.16
2023-11-27,2023-11-28,Expedited,NV,West,Lot's O' Nuts,1,Lot's O' Nuts → NV,385.65,137,180.14999999999998
2023-10-02,2023-10-08,Standard,IN,Midwest,Secret Factory,6,Secret Factory → IN,368.15,137,231.14999999999998
2023-02-08,2023-02-12,Standard,CA,West,Secret Factory,4,Secret Factory → CA,1271.36,484,787.3599999999999
2023-05-02,2023-05-08,Standard,NJ,Northeast,Wicked Choccy's,6,Wicked Choccy's → NJ,1075.84,472,509.43999999999994
2023-07-14,2023-07-18,Expedited,MA,Northeast,Lot's O' Nuts,4,Lot's O' Nuts → MA,460.79,156,226.79000000000002
2023-10-12,2023-10-15,Standard,OH,Midwest,Secret Factory,3,Secret Factory → OH,801.07,306,495.07000000000005
2023-02-01,2023-02-06,Standard,CA,West,Sugar Shack,5,Sugar Shack → CA,370.99,270,235.99
2023-04-06,2023-04-10,Standard,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,935.35,306,476.35
2023-11-14,2023-11-19,Standard,CT,Northeast,Lot's O' Nuts,5,Lot's O' Nuts → CT,1393.95,488,661.95
2023-12-09,2023-12-14,Standard,MI,Midwest,Sugar Shack,5,Sugar Shack → MI,352.54,244,230.54000000000002
2023-02-07,2023-02-08,Expedited,CT,Northeast,Lot's O' Nuts,1,Lot's O' Nuts → CT,142.06,47,71.56
2023-09-17,2023-09-19,Expedited,MI,Midwest,Sugar Shack,2,Sugar Shack → MI,285.66,199,186.16000000000003
2023-08-13,2023-08-14,Expedited,VA,South,The Other Factory,1,The Other Factory → VA,821.17,351,505.27
